=== RERUN after comment-stripping fix, Sat Aug  1 09:05:03 AM EDT 2026 ===
148 corpora
[ok] aristotle-putnam25: 135 decls, 192 proofs, never_cited=0.237
[ok] aleph-prover-proofs: 184 decls, 310 proofs, never_cited=0.196
[ok] axiomprover-fc: 73 decls, 114 proofs, never_cited=0.041
[ok] archon-firstproof: 245 decls, 356 proofs, never_cited=0.020
[ok] dsp15rl-minif2f-sampling: 262 decls, 923 proofs, never_cited=1.000
[ok] dsp15rl-proofnet-sampling: 61 decls, 61 proofs, never_cited=1.000
[ok] dsp15rl-minif2f-rmaxts: 4 decls, 1440 proofs, never_cited=1.000
[ok] apollo-dspv2-o3: 397 decls, 1812 proofs, never_cited=1.000
[ok] internlm-lean-workbook: 2000 decls, 96 proofs, never_cited=1.000
[ok] agenticsnz-unsorry: 4808 decls, 6722 proofs, never_cited=0.986
[ok] axiom: 7013 decls, 10772 proofs, never_cited=0.116
[ok] lean-eval-bench: 953 decls, 189 proofs, never_cited=0.380
[ok] itpeval: 3327 decls, 1781 proofs, never_cited=0.470
[ok] lean-eval-submissions: 8478 decls, 11826 proofs, never_cited=0.201
[ok] leanabell-sft: 1444 decls, 1836 proofs, never_cited=1.000
[ok] leanabell-v2-coldstart: 17 decls, 1765 proofs, never_cited=1.000
[ok] leanagent2603: 455 decls, 854 proofs, never_cited=0.923
[ok] matharena-arxivlean-outputs: 667 decls, 542 proofs, never_cited=0.183
[ok] mcb-minif2f-6provers: 519 decls, 2069 proofs, never_cited=1.000
[ok] numinamath-proof-artifacts: 4442 decls, 4406 proofs, never_cited=0.896
[ok] jayyhk-erdos-lean: 18930 decls, 37604 proofs, never_cited=0.173
[ok] paired_numina: 534 decls, 1019 proofs, never_cited=0.953
[ok] pythagoras-sft: 46 decls, 1589 proofs, never_cited=0.978
[ok] stp-lean-0320: 1927 decls, 712 proofs, never_cited=1.000
[ok] theoremllama: 88 decls, 92 proofs, never_cited=1.000
[ok] agenticcommons-formalmath: 1253 decls, 1219 proofs, never_cited=0.994
[ok] ahyxie-minif2f-deepseek: 250 decls, 476 proofs, never_cited=1.000
[ok] human: 117377 decls, 15806 proofs, never_cited=0.455
[ok] ahyxie-minif2f-kimina: 33 decls, 2002 proofs, never_cited=1.000
[ok] ahyxie-minif2f-goedel: 34 decls, 2816 proofs, never_cited=1.000
[ok] ai4math-compfiles: 2461 decls, 1963 proofs, never_cited=0.373
[ok] ai4math-deepseek-prover: 2000 decls, 1884 proofs, never_cited=1.000
[ok] ai4math-formalmath: 2083 decls, 1967 proofs, never_cited=0.938
[ok] ahyxie-minif2f-kimina72b: 31 decls, 2040 proofs, never_cited=1.000
[ok] ai4math-hf-lean-workbook: 2000 decls, 1998 proofs, never_cited=1.000
[ok] ai4math-goedel-pset: 2263 decls, 2193 proofs, never_cited=0.906
[ok] ai4math-lean-proofs: 5327 decls, 4381 proofs, never_cited=0.127
[ok] ai4math-lean: 5546 decls, 4402 proofs, never_cited=0.487
[ok] ai4math-numinamath: 2037 decls, 3956 proofs, never_cited=0.987
[ok] ai4math-putnam2025: 506 decls, 400 proofs, never_cited=0.047
[ok] ai4math-nemotron: 2880 decls, 1975 proofs, never_cited=0.693
[ok] banach1729-goedel-workbook: 10000 decls, 14599 proofs, never_cited=1.000
[ok] cartinoe-dsproverv2: 2012 decls, 1904 proofs, never_cited=0.977
[ok] desaxce-numinalean: 2125 decls, 2048 proofs, never_cited=0.961
[ok] cartinoe-lean-solution: 472 decls, 926 proofs, never_cited=1.000
[ok] iiis-numinalean-artifacts: 2053 decls, 2003 proofs, never_cited=0.979
[ok] epfl-sft-classic-numina: 2140 decls, 2064 proofs, never_cited=0.939
[ok] internlm-lean-workbook: 2000 decls, 1991 proofs, never_cited=1.000
[ok] iiis-numinalean-sol: 2025 decls, 1991 proofs, never_cited=0.988
[ok] kevew-minif2f-kimina8b: 1 decls, 311 proofs, never_cited=1.000
[ok] juppy44-numinalean-hints: 2125 decls, 2048 proofs, never_cited=0.961
[ok] leanabell-sft: 2000 decls, 1840 proofs, never_cited=0.998
[ok] lukebailey-dsprover-sols-v0: 1999 decls, 1077 proofs, never_cited=1.000
[ok] lukebailey-dsprover-sols: 1999 decls, 1077 proofs, never_cited=1.000
[ok] maoliyuan-lw-filtered: 2000 decls, 1997 proofs, never_cited=1.000
[ok] maoliyuan-lw-standard: 2000 decls, 1997 proofs, never_cited=1.000
[ok] plby-lean-proofs: 20731 decls, 84140 proofs, never_cited=0.164
[ok] slim205-lw-hard-goals: 127 decls, 49 proofs, never_cited=1.000
[ok] qwen3-8b-minif2f: 208 decls, 82 proofs, never_cited=0.918
[ok] slim205-lw-rl-minif2f: 2065 decls, 366 proofs, never_cited=1.000
[ok] rootacess-lean-sft: 2243 decls, 2150 proofs, never_cited=0.900
[ok] slim205-lw-rl-v14: 213 decls, 1957 proofs, never_cited=1.000
[ok] slim205-lw-rl-v20: 2026 decls, 317 proofs, never_cited=1.000
[ok] slim205-lw-rl-v13: 213 decls, 1903 proofs, never_cited=1.000
[ok] stp-lean-0320: 2391 decls, 2068 proofs, never_cited=0.937
[ok] stp-lean: 2916 decls, 2091 proofs, never_cited=0.863
[ok] vincentoh-rrma-traces: 9 decls, 5 proofs, never_cited=0.667
[ok] stp-lean-sft: 10976 decls, 3730 proofs, never_cited=0.640
[ok] vivacem-pset10k-kimina17b: 2028 decls, 1917 proofs, never_cited=0.976
[ok] vivacem-goedel-workbook-sft: 2000 decls, 1998 proofs, never_cited=1.000
[ok] yidan-dsproverv2: 232 decls, 2000 proofs, never_cited=1.000
[ok] yidan-kimina: 220 decls, 2000 proofs, never_cited=1.000
[ok] yuxuan-lw-gptoss: 1905 decls, 1892 proofs, never_cited=0.991
[ok] stp-lean-sft-eval: 39375 decls, 20742 proofs, never_cited=0.544
[ok] BonnAnalysis: 101 decls, 66 proofs, never_cited=0.198
[ok] yidan-goedel: 333 decls, 1995 proofs, never_cited=0.949
[ok] ConNF: 3367 decls, 1612 proofs, never_cited=0.272
[ok] FLT-regular: 252 decls, 183 proofs, never_cited=0.139
[ok] LeanAPAP: 682 decls, 450 proofs, never_cited=0.424
[ok] ExponentialRamsey: 1101 decls, 386 proofs, never_cited=0.284
[ok] SciLean: 2987 decls, 870 proofs, never_cited=0.693
[ok] PhysLean: 10200 decls, 6983 proofs, never_cited=0.358
[ok] lean-matrix-cookbook: 47 decls, 15 proofs, never_cited=0.638
[ok] math2001: 139 decls, 53 proofs, never_cited=0.626
[ok] mathematics_in_lean: 192 decls, 100 proofs, never_cited=0.458
[ok] carleson: 2502 decls, 1807 proofs, never_cited=0.254
[ok] sphere-eversion: 1074 decls, 502 proofs, never_cited=0.398
[ok] theorem_proving_in_lean4: 131 decls, 5 proofs, never_cited=0.374
[ok] unit-fractions: 592 decls, 21 proofs, never_cited=0.172
[ok] alphaproof-nexus: 2746 decls, 6471 proofs, never_cited=0.176
[ok] alphaproof: 17 decls, 18 proofs, never_cited=0.294
[ok] deepseek-prover-v2: 438 decls, 436 proofs, never_cited=1.000
[ok] harmonic-aristotle-imo2025: 123 decls, 174 proofs, never_cited=0.228
[ok] human-compfiles: 3635 decls, 5410 proofs, never_cited=0.284
[ok] mathlib3: 95244 decls, 2753 proofs, never_cited=0.478
[ok] kimina-prover: 259 decls, 444 proofs, never_cited=0.873
[ok] mathinc-strongpnt: 1113 decls, 890 proofs, never_cited=0.197
[ok] seed-prover: 5790 decls, 10104 proofs, never_cited=0.380
[ok] mathinc-sphere-packing: 5675 decls, 5042 proofs, never_cited=0.203
[ok] yuxuan-lw-responses: 2072 decls, 1805 proofs, never_cited=0.951
[ok] hf: 104447 decls, 120612 proofs, never_cited=0.719
[ok] lean_eval: 83558 decls, 165951 proofs, never_cited=0.205

wrote 102 corpora, 640998 proofs -> results/census_all_v2
CENSUS_V2_DONE
STUDY8_V2_DONE
WITHIN_V2_DONE
MATCHED_HF_V2_DONE
ALL_RERUN_DONE
