corpus,n_files,n_decls,n_proofs,n_citation_edges,frac_never_cited,mean_reuse,alpha_x5,alpha_x10,alpha_x20,median_n_lines,median_n_tactics,median_n_have,median_n_distinct_premises,median_vocab_ratio,median_automation_share,median_dup_line_share,median_depth_indent
aristotle-putnam25,20,135,192,307,0.23703703703703705,2.274074074074074,2.387,,,9.5,7.0,1.0,7.0,0.6229,0.2748,0.0,6.0
aleph-prover-proofs,3,184,310,259,0.1956521739130435,1.4076086956521738,,,,26.0,10.0,6.0,10.0,0.625,0.1429,0.0,6.0
axiomprover-fc,7,73,114,149,0.0410958904109589,2.041095890410959,,,,10.0,3.0,0.0,4.0,0.5789,0.2857,0.0,6.0
archon-firstproof,55,245,356,701,0.02040816326530612,2.8612244897959185,2.31,2.834,,15.0,6.5,1.0,9.0,0.6667,0.1579,0.0,6.0
dsp15rl-minif2f-sampling,927,262,923,0,1.0,0.0,,,,6.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0
dsp15rl-proofnet-sampling,639,61,61,0,1.0,0.0,,,,9.0,4.0,2.0,2.0,0.5,0.3333,0.0,4.0
dsp15rl-minif2f-rmaxts,1440,4,1440,0,1.0,0.0,,,,5.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0
apollo-dspv2-o3,2508,397,1812,0,1.0,0.0,,,,19.0,8.0,5.0,1.0,0.1515,0.4324,0.0,8.0
internlm-lean-workbook,2000,2000,96,0,1.0,0.0,,,,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0
agenticsnz-unsorry,13154,4808,6722,72,0.9858569051580699,0.014975041597337771,,,,4.0,2.0,0.0,2.0,0.6,0.0,0.0,2.0
axiom,399,7013,10772,35492,0.11578497076857265,5.060886924283474,1.941,1.931,1.861,10.0,3.0,1.0,6.0,0.5789,0.1667,0.0,4.0
lean-eval-bench,1552,953,189,1449,0.37985309548793283,1.5204616998950682,2.291,2.157,,5.0,0.0,0.0,7.0,0.7,0.0,0.0,4.0
itpeval,1168,3327,1781,7426,0.4697926059513075,2.2320408776675684,2.126,2.156,2.251,6.0,1.0,0.0,4.0,0.75,0.0,0.0,4.0
lean-eval-submissions,866,8478,11826,42687,0.20075489502241095,5.035031847133758,2.136,2.121,2.125,13.0,5.0,1.0,8.0,0.5152,0.1667,0.0,6.0
leanabell-sft,2000,1444,1836,0,1.0,0.0,,,,5.0,2.0,0.0,0.0,0.0,0.5278,0.0,2.0
leanabell-v2-coldstart,1788,17,1765,0,1.0,0.0,,,,16.0,7.0,3.0,0.0,0.0,0.4,0.0,6.0
leanagent2603,838,455,854,322,0.9230769230769231,0.7076923076923077,,,,10.0,4.0,2.0,1.0,0.0625,0.4,0.0,4.0
matharena-arxivlean-outputs,58,667,542,1126,0.18290854572713644,1.6881559220389806,2.659,3.64,,14.0,5.0,2.0,6.0,0.5,0.1667,0.0,6.0
mcb-minif2f-6provers,2077,519,2069,0,1.0,0.0,,,,7.0,3.0,0.0,1.0,0.2727,0.5,0.0,4.0
numinamath-proof-artifacts,4000,4442,4406,9007,0.8957676722197209,2.0276902296262946,1.485,1.536,1.612,25.0,11.0,5.0,2.0,0.4,0.3529,0.049,6.0
jayyhk-erdos-lean,410,18930,37604,133238,0.17258320126782883,7.038457474907554,2.062,2.165,1.98,11.0,5.0,1.0,8.0,0.5714,0.1852,0.0,6.0
paired_numina,1000,534,1019,330,0.9531835205992509,0.6179775280898876,,,,23.0,11.0,4.0,2.0,0.4091,0.375,0.0541,6.0
pythagoras-sft,2000,46,1589,1,0.9782608695652174,0.021739130434782608,,,,22.0,10.0,3.0,0.0,0.0,0.5526,0.0606,4.0
stp-lean-0320,2000,1927,712,0,1.0,0.0,,,,11.0,6.0,4.0,0.0,0.0,0.4545,0.0,4.0
theoremllama,106,88,92,0,1.0,0.0,,,,3.0,1.0,0.0,1.0,0.7916,0.0,0.0,2.0
agenticcommons-formalmath,1329,1253,1219,546,0.9936153232242618,0.43575418994413406,,,,5.0,1.0,0.0,3.0,0.5455,0.0,0.0,2.0
ahyxie-minif2f-deepseek,475,250,476,0,1.0,0.0,,,,10.0,4.0,2.0,1.0,0.1667,0.25,0.0,4.0
human,5429,117377,15806,1143110,0.45460354243165185,9.73879039334793,1.863,1.869,1.907,6.0,2.0,0.0,5.0,0.7,0.0625,0.0,4.0
ahyxie-minif2f-kimina,2000,33,2002,0,1.0,0.0,,,,8.0,3.0,1.0,1.0,0.0922,0.2857,0.0,4.0
ahyxie-minif2f-goedel,2000,34,2816,0,1.0,0.0,,,,16.0,6.0,3.0,4.0,0.5,0.3506,0.0909,6.0
ai4math-compfiles,258,2461,1963,10793,0.3734254368143031,4.385615603413247,1.951,1.888,1.708,10.0,4.0,1.0,7.0,0.75,0.1333,0.0,4.0
ai4math-deepseek-prover,2000,2000,1884,0,1.0,0.0,,,,5.0,1.0,0.0,0.0,0.0,0.5,0.0,2.0
ai4math-formalmath,2000,2083,1967,2511,0.9380700912145943,1.2054728756601056,1.411,1.489,1.651,3.0,0.0,0.0,1.0,0.4375,0.0,0.0,4.0
ahyxie-minif2f-kimina72b,2000,31,2040,0,1.0,0.0,,,,11.0,4.0,2.0,1.0,0.0528,0.2986,0.0,4.0
ai4math-hf-lean-workbook,2000,2000,1998,0,1.0,0.0,,,,5.0,1.0,0.0,0.0,0.0,0.5,0.0,4.0
ai4math-goedel-pset,2000,2263,2193,1420,0.9063190455148034,0.6274856385329209,1.48,,,21.0,8.0,5.0,1.0,0.1429,0.2222,0.0,4.0
ai4math-lean-proofs,93,5327,4381,30041,0.12690069457480757,5.639384268819223,2.001,2.043,1.974,11.0,8.0,1.0,9.0,0.5789,0.2885,0.0,6.0
ai4math-lean,2000,5546,4402,26510,0.4871979805265056,4.780021637216011,1.861,1.792,1.629,16.0,7.0,3.0,6.0,0.5,0.2381,0.0,6.0
ai4math-numinamath,2000,2037,3956,1066,0.9872361315660285,0.5233186057928326,1.542,1.701,,5.0,0.0,0.0,2.0,0.8,0.0,0.0,4.0
ai4math-putnam2025,12,506,400,1386,0.04743083003952569,2.739130434782609,2.056,2.284,,12.0,5.0,2.0,5.0,0.5714,0.2143,0.0,4.0
ai4math-nemotron,2000,2880,1975,13281,0.6927083333333334,4.611458333333333,1.531,1.508,1.593,78.0,36.0,24.0,7.0,0.1875,0.3571,0.134,12.0
banach1729-goedel-workbook,14617,10000,14599,0,1.0,0.0,,,,5.0,2.0,0.0,0.0,0.0,0.375,0.0,4.0
cartinoe-dsproverv2,2000,2012,1904,5178,0.9771371769383698,2.573558648111332,,,,23.0,8.0,5.0,1.0,0.1176,0.2308,0.0,4.0
desaxce-numinalean,2000,2125,2048,1810,0.9614117647058823,0.851764705882353,1.555,1.522,,20.0,8.0,4.0,2.0,0.3333,0.34,0.0,6.0
cartinoe-lean-solution,1469,472,926,0,1.0,0.0,,,,30.0,14.0,9.0,1.0,0.0645,0.3333,0.0833,8.0
iiis-numinalean-artifacts,2000,2053,2003,2911,0.9790550414028252,1.4179249878226985,1.383,1.537,1.581,22.0,9.0,5.0,1.0,0.2857,0.36,0.0571,6.0
epfl-sft-classic-numina,2000,2140,2064,2714,0.938785046728972,1.2682242990654207,1.401,1.45,,26.0,11.0,5.0,2.0,0.3333,0.3514,0.0645,6.0
internlm-lean-workbook,2000,2000,1991,0,1.0,0.0,,,,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,1.0
iiis-numinalean-sol,2000,2025,1991,1686,0.9876543209876543,0.8325925925925926,1.394,,,25.0,10.0,6.0,2.0,0.25,0.3333,0.082,6.0
kevew-minif2f-kimina8b,311,1,311,0,1.0,0.0,,,,11.0,3.0,2.0,1.0,0.24,0.3158,0.0,4.0
juppy44-numinalean-hints,2000,2125,2048,1810,0.9614117647058823,0.851764705882353,1.555,1.522,,20.0,8.0,4.0,2.0,0.3333,0.3396,0.0,6.0
leanabell-sft,2000,2000,1840,610,0.9975,0.305,,,,6.0,2.0,0.0,0.0,0.0,0.5714,0.0,2.0
lukebailey-dsprover-sols-v0,2000,1999,1077,0,1.0,0.0,,,,15.0,8.0,4.0,2.0,0.2,0.5,0.0504,4.0
lukebailey-dsprover-sols,2000,1999,1077,0,1.0,0.0,,,,15.0,8.0,4.0,2.0,0.2,0.5,0.0504,4.0
maoliyuan-lw-filtered,2000,2000,1997,0,1.0,0.0,,,,5.0,2.0,0.0,0.0,0.0,0.5,0.0,4.0
maoliyuan-lw-standard,2000,2000,1997,0,1.0,0.0,,,,5.0,2.0,0.0,0.0,0.0,0.5,0.0,4.0
plby-lean-proofs,2802,20731,84140,150486,0.16419854324441657,7.25898413004679,2.05,2.109,2.032,13.0,6.0,1.0,8.0,0.5455,0.2222,0.0,6.0
slim205-lw-hard-goals,127,127,49,0,1.0,0.0,,,,11.0,6.0,3.0,0.0,0.0,0.6667,0.0,4.0
qwen3-8b-minif2f,187,208,82,180,0.9182692307692307,0.8653846153846154,,,,16.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0
slim205-lw-rl-minif2f,2000,2065,366,0,1.0,0.0,,,,7.0,3.0,1.0,0.0,0.0,0.7273,0.0,2.0
rootacess-lean-sft,2000,2243,2150,2813,0.8996879179670084,1.2541239411502452,1.454,1.51,1.594,8.0,4.0,0.0,1.0,0.2869,0.4,0.0,4.0
