source,side,claims,zero_share,one_share,multi_share,mean_uses
amc_aime,a,202,0.1782178217821782,0.4158415841584158,0.40594059405940597,4.336633663366337
amc_aime,h,63,0.1111111111111111,0.42857142857142855,0.4603174603174603,4.111111111111111
aops_forum,a,52,0.17307692307692307,0.3076923076923077,0.5192307692307693,1.5576923076923077
aops_forum,h,37,0.21621621621621623,0.4864864864864865,0.2972972972972973,1.135135135135135
cn_contest,a,110,0.2,0.35454545454545455,0.44545454545454544,18.827272727272728
cn_contest,h,152,0.19736842105263158,0.35526315789473684,0.4473684210526316,13.980263157894736
cn_k12,a,240,0.30416666666666664,0.4375,0.25833333333333336,1.3
cn_k12,h,85,0.058823529411764705,0.6941176470588235,0.24705882352941178,1.3647058823529412
inequalities,a,7,0.14285714285714285,0.7142857142857143,0.14285714285714285,1.1428571428571428
inequalities,h,8,0.125,0.75,0.125,1.375
math_test,a,207,0.24154589371980675,0.357487922705314,0.40096618357487923,3.8067632850241546
math_test,h,122,0.04918032786885246,0.5655737704918032,0.38524590163934425,1.9426229508196722
math_train,a,178,0.1797752808988764,0.46629213483146065,0.3539325842696629,6.707865168539326
math_train,h,77,0.06493506493506493,0.5714285714285714,0.36363636363636365,2.051948051948052
number_theory,a,30,0.3,0.4666666666666667,0.23333333333333334,1.1666666666666667
number_theory,h,9,0.0,0.8888888888888888,0.1111111111111111,1.2222222222222223
olympiads,a,757,0.2523117569352708,0.4134742404227213,0.3342140026420079,6.294583883751652
olympiads,h,385,0.16103896103896104,0.4935064935064935,0.34545454545454546,15.955844155844156
olympiads_ref,a,147,0.23129251700680273,0.43537414965986393,0.3333333333333333,2.2653061224489797
olympiads_ref,h,112,0.15178571428571427,0.5625,0.2857142857142857,2.794642857142857
secondary_math,a,109,0.1926605504587156,0.3211009174311927,0.48623853211009177,2.5596330275229358
secondary_math,h,64,0.21875,0.46875,0.3125,1.734375
unknown,a,8,0.0,0.375,0.625,31.75
unknown,h,4,0.0,0.0,1.0,50.75
