tactic,condition,pairs,human_claims,human_zero_share,human_one_share,human_multi_share,human_polarized_share,ai_claims,ai_zero_share,ai_one_share,ai_multi_share,ai_polarized_share,polarized_ai_minus_human
linarith,both,1533,9381,0.11000959385992964,0.556657072806737,0.3333333333333333,0.44334292719326296,17017,0.23664570723394251,0.42439913028148324,0.33895516248457425,0.5756008697185168,0.1322579425252538
linarith,neither,1198,1900,0.06578947368421052,0.6815789473684211,0.25263157894736843,0.31842105263157894,2090,0.13014354066985645,0.5899521531100479,0.2799043062200957,0.41004784688995216,0.09162679425837322
nlinarith,both,616,4688,0.16446245733788395,0.5147184300341296,0.32081911262798635,0.4852815699658703,6652,0.26578472639807577,0.4159651232711966,0.3182501503307276,0.5840348767288034,0.09875330676293309
nlinarith,neither,2004,4544,0.07482394366197183,0.6223591549295775,0.3028169014084507,0.37764084507042256,6756,0.15615748963883955,0.5047365304914151,0.3391059798697454,0.49526346950858496,0.1176226244381624
norm_num,both,1355,6969,0.08882192567082796,0.5769837853350552,0.3341942889941168,0.42301621466494477,12068,0.18370898243288034,0.45086178322837256,0.3654292343387471,0.5491382167716274,0.12612200210668267
norm_num,neither,1259,3429,0.1332750072907553,0.5987168270632838,0.2680081656459609,0.4012831729367162,6211,0.28562228304620835,0.443728868137176,0.27064884881661566,0.5562711318628241,0.15498795892610784
omega,both,477,3131,0.09900990099009901,0.5007984669434685,0.40019163206643243,0.4992015330565315,4637,0.18330817338796634,0.4015527280569334,0.4151390985551003,0.5984472719430667,0.0992457388865352
omega,neither,2690,9337,0.10902859590875014,0.6008353860983185,0.29013601799293137,0.3991646139016815,16895,0.2346848179934892,0.45457235868600177,0.310742823320509,0.5454276413139982,0.14626302741231673
ring,both,416,2985,0.09380234505862646,0.6174204355108878,0.2887772194304858,0.38257956448911223,4974,0.2004422999597909,0.5100522718134298,0.28950542822677927,0.4899477281865702,0.10736816369745794
ring,neither,2249,6077,0.11403653118314958,0.5369425703472108,0.34902089846963963,0.46305742965278923,11219,0.22720385061057136,0.4071664141189054,0.3656297352705232,0.5928335858810946,0.12977615622830535
simp,both,938,4638,0.054118154376886586,0.5991806813281587,0.34670116429495473,0.4008193186718413,9603,0.18036030407164427,0.45829428303655106,0.36134541289180466,0.5417057169634489,0.14088639829160765
simp,neither,1593,4421,0.17145442207645328,0.5473874688984393,0.28115810902510746,0.45261253110156074,6360,0.2757861635220126,0.42657232704402515,0.2976415094339623,0.5734276729559749,0.12081514185441411
