tactic,condition,pairs,human_claims,human_zero_share,human_one_share,human_multi_share,human_polarized_share,ai_claims,ai_zero_share,ai_one_share,ai_multi_share,ai_polarized_share,polarized_ai_minus_human
linarith,both,139,734,0.1362397820163488,0.48092643051771117,0.38283378746594005,0.5190735694822888,1365,0.2652014652014652,0.3597069597069597,0.3750915750915751,0.6402930402930402,0.12121947081075146
linarith,neither,74,113,0.168141592920354,0.584070796460177,0.24778761061946902,0.415929203539823,158,0.14556962025316456,0.6708860759493671,0.18354430379746836,0.3291139240506329,-0.0868152794891901
nlinarith,both,60,364,0.21428571428571427,0.43956043956043955,0.34615384615384615,0.5604395604395604,448,0.28794642857142855,0.375,0.33705357142857145,0.625,0.06456043956043955
nlinarith,neither,144,334,0.0688622754491018,0.5988023952095808,0.3323353293413174,0.40119760479041916,591,0.15905245346869712,0.5177664974619289,0.32318104906937395,0.48223350253807107,0.08103589774765191
norm_num,both,103,460,0.10217391304347827,0.5,0.3978260869565217,0.5,875,0.18971428571428572,0.41485714285714287,0.3954285714285714,0.5851428571428572,0.08514285714285719
norm_num,neither,109,315,0.1746031746031746,0.5365079365079365,0.28888888888888886,0.4634920634920635,564,0.3120567375886525,0.40602836879432624,0.28191489361702127,0.5939716312056738,0.13047956771361024
omega,both,33,159,0.12578616352201258,0.44025157232704404,0.4339622641509434,0.559748427672956,310,0.15161290322580645,0.46774193548387094,0.38064516129032255,0.532258064516129,-0.027490363156826958
omega,neither,229,823,0.14580801944106925,0.5236938031591738,0.330498177399757,0.47630619684082626,1498,0.24299065420560748,0.3965287049399199,0.3604806408544726,0.6034712950600801,0.12716509821925387
ring,both,25,109,0.24770642201834864,0.45871559633027525,0.29357798165137616,0.5412844036697247,220,0.25,0.42272727272727273,0.32727272727272727,0.5772727272727273,0.035988323603002526
ring,neither,197,576,0.1388888888888889,0.4652777777777778,0.3958333333333333,0.5347222222222222,1096,0.22445255474452555,0.4124087591240876,0.36313868613138683,0.5875912408759124,0.0528690186536902
simp,both,78,317,0.11041009463722397,0.5078864353312302,0.38170347003154576,0.4921135646687697,648,0.24845679012345678,0.37808641975308643,0.3734567901234568,0.6219135802469136,0.12980001557814386
simp,neither,118,322,0.17701863354037267,0.48757763975155277,0.33540372670807456,0.5124223602484472,534,0.26217228464419473,0.4232209737827715,0.3146067415730337,0.5767790262172284,0.0643566659687812
