pair,source,retrieval_percentile_a,retrieval_percentile_h,top1_a,top1_h,claims_a,claims_h,top1_excess_chance_a,top1_excess_chance_h,human_retrieval_percentile,ai_retrieval_percentile,human_top1,ai_top1,human_top1_excess_chance,ai_top1_excess_chance
pair_006b5904,olympiads,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_00b23e63,cn_contest,0.5,0.5,0.3333333333333333,0.2,3,5,0.0,0.0,0.5,0.5,0.2,0.3333333333333333,0.0,0.0
pair_00c3ecd5,math_test,0.7,0.5,0.4,0.5,5,2,0.25,0.0,0.5,0.7,0.5,0.4,0.0,0.25
pair_0262cdc9,amc_aime,0.5,0.5,0.2,0.5,5,2,0.0,0.0,0.5,0.5,0.5,0.2,0.0,0.0
pair_03fe8450,secondary_math,0.6,0.5,0.4,0.3333333333333333,5,3,0.25,0.0,0.5,0.6,0.3333333333333333,0.4,0.0,0.25
pair_047a9beb,amc_aime,0.16666666666666669,0.5,0.0,0.25,4,4,-0.3333333333333333,0.0,0.5,0.16666666666666669,0.25,0.0,0.0,-0.3333333333333333
pair_04c5bf83,olympiads,0.5,0.4761904761904762,0.16666666666666666,0.14285714285714285,6,7,0.0,0.0,0.4761904761904762,0.5,0.14285714285714285,0.16666666666666666,0.0,0.0
pair_05f39502,olympiads,0.5,0.761904761904762,0.3333333333333333,0.5714285714285714,3,7,0.0,0.49999999999999994,0.761904761904762,0.5,0.5714285714285714,0.3333333333333333,0.49999999999999994,0.0
pair_0e3ec0d0,olympiads,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_10a4b6cd,amc_aime,0.5,0.5,0.25,0.3333333333333333,4,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.25,0.0,0.0
pair_10bf58b8,olympiads,0.16666666666666666,0.16666666666666666,0.0,0.0,3,3,-0.49999999999999994,-0.49999999999999994,0.16666666666666666,0.16666666666666666,0.0,0.0,-0.49999999999999994,-0.49999999999999994
pair_10db0ca7,cn_k12,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_11814e28,cn_k12,0.5,0.5,0.16666666666666666,0.3333333333333333,6,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0
pair_11b127b9,cn_k12,0.5,0.5,0.125,0.3333333333333333,8,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.125,0.0,0.0
pair_12d75d25,number_theory,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_136afae1,olympiads,0.5,0.5833333333333334,0.2,0.5,5,4,0.0,0.3333333333333333,0.5833333333333334,0.5,0.5,0.2,0.3333333333333333,0.0
pair_13d805d4,amc_aime,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,3,3,0.49999999999999994,0.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.49999999999999994
pair_149dda45,olympiads_ref,0.5,0.5,0.14285714285714285,0.3333333333333333,7,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.14285714285714285,0.0,0.0
pair_14bd707b,amc_aime,0.4166666666666667,0.45,0.25,0.2,4,5,0.0,0.0,0.45,0.4166666666666667,0.2,0.25,0.0,0.0
pair_152731e7,olympiads,0.5,0.5,0.14285714285714285,0.25,7,4,0.0,0.0,0.5,0.5,0.25,0.14285714285714285,0.0,0.0
pair_155c7ff8,secondary_math,0.5,0.5,0.5,0.16666666666666666,2,6,0.0,0.0,0.5,0.5,0.16666666666666666,0.5,0.0,0.0
pair_172df75c,olympiads,0.25,0.5,0.0,0.16666666666666666,4,6,-0.3333333333333333,0.0,0.5,0.25,0.16666666666666666,0.0,0.0,-0.3333333333333333
pair_17b9aa80,amc_aime,0.6666666666666667,0.5,0.5,0.2,4,5,0.3333333333333333,0.0,0.5,0.6666666666666667,0.2,0.5,0.0,0.3333333333333333
pair_185bf34b,math_train,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_195f308a,cn_contest,0.5,0.5,0.25,0.25,4,4,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.0
pair_1b0aac1f,secondary_math,1.0,0.45,1.0,0.0,2,5,1.0,-0.25,0.45,1.0,0.0,1.0,-0.25,1.0
pair_1c6a86e7,cn_k12,0.5,0.5,0.2,0.5,5,2,0.0,0.0,0.5,0.5,0.5,0.2,0.0,0.0
pair_1d99af92,cn_k12,0.5,0.5666666666666667,0.3333333333333333,0.3333333333333333,6,6,0.19999999999999998,0.19999999999999998,0.5666666666666667,0.5,0.3333333333333333,0.3333333333333333,0.19999999999999998,0.19999999999999998
pair_1db3cf23,math_test,0.5,0.5,0.16666666666666666,0.3333333333333333,6,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0
pair_1db80b11,number_theory,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
