pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_00b23e63,cn_contest,a,175,2.1716183035544634,2.329075378674006,4.5032724689276264,3,0.2187875867615011,0.21983689444481444,0.5469198741921805,0.5479691818754938
pair_00b23e63,cn_contest,h,214,2.101182895229804,2.329075378674006,3.9668200838754655,5,0.3144566071552054,0.3706164566396176,0.3795807045746088,0.435740554059021
pair_01eb3f84,olympiads,a,807,2.7391454363576435,2.43191461565028,5.61472791052957,18,-0.21408356702791778,-0.2013321481026118,-0.10304352119865252,-0.09029210227334664
pair_01eb3f84,olympiads,h,460,2.991030041557813,2.3827476583816884,7.775452207219082,4,-0.23290110749272286,-0.24925638571806086,-0.4052497945401681,-0.421605072765506
pair_064daf4b,olympiads,a,75,3.2603537076383304,2.2476295276593663,9.115131760382715,2,-0.4103487098640317,0.06945327200961893,-0.19718504448211394,0.2826169373915367
pair_064daf4b,olympiads,h,68,2.887839821276126,1.9119469167663674,7.67159871241345,1,-0.45769825710330236,-0.3000943447352453,0.05855140305569373,0.21615531542375077
pair_06e244fd,olympiads,a,1058,2.605996130926608,2.1592730393798845,7.14946583124291,13,-0.8571953132105427,-0.9009884063799442,-0.24717125295703277,-0.29096434612643435
pair_06e244fd,olympiads,h,1051,2.5184102449438375,2.1302181014477735,6.331107380357963,15,-0.6156990323849026,-0.6909829374000317,-0.7034048420313284,-0.7786887470464576
pair_070c0d6f,amc_aime,a,149,3.8279606492546248,3.0539818830008048,10.785605431567951,0,,,,
pair_070c0d6f,amc_aime,h,656,4.266138601116225,3.0442011319908775,11.620913063936923,8,0.6819738083114901,0.78492355337415,2.885668090426238,2.9886178354888973
pair_0a7bd2c7,secondary_math,a,207,3.5885138881442695,3.0503752668899686,7.684395525812638,0,,,,
pair_0a7bd2c7,secondary_math,h,159,3.7003348300879244,3.097233616320142,8.065955192443447,0,,,,
pair_0a891d0e,cn_contest,a,157,2.3101155129866924,2.1932988625541627,5.246387922015753,2,-0.4853438568118459,-0.5103410529768612,-0.16181048303127654,-0.18680767919629185
pair_0a891d0e,cn_contest,h,109,2.441725542871218,2.312457802016247,5.246387922015753,0,,,,
pair_0a983018,olympiads_ref,a,640,2.325001005679046,2.128156894907552,4.98446801386309,14,-0.22557235972333434,-0.23387028984338112,-0.19943583438527282,-0.20773376450531952
pair_0a983018,olympiads_ref,h,387,2.619172599812586,2.378391822678173,5.788781187465039,1,-0.510460687629839,-0.5293732861548308,-0.7136120200320071,-0.7325246185569989
pair_0b123512,math_train,a,122,7.264973558700164,4.567275419120822,17.1845995193179,0,,,,
pair_0b123512,math_train,h,708,4.5830749742435,2.988236273039337,15.118258894455682,5,0.08872982003856614,0.14871876672966627,0.2985361832756346,0.3585251299667348
pair_0bc9ff8b,math_test,a,182,3.3057613899468485,2.4983822522981134,10.237605917744744,4,-0.1698954642091025,-0.6181333079439612,0.037907632940341274,-0.41033021079451726
pair_0bc9ff8b,math_test,h,86,4.503807831269203,2.8849309171304096,14.90222949470703,0,,,,
pair_0c9ecd6b,math_train,a,376,2.7365312952066496,2.1795121445892724,6.996781598347311,10,0.2287451908880246,0.25273267207924954,0.21033037801911977,0.23431785921034476
pair_0c9ecd6b,math_train,h,87,2.8468504964527246,2.33000423529155,7.168441292693871,1,-1.2790440097961437,-1.1477653296072747,-0.23560730161065369,-0.10432862142178476
pair_0f3deadd,math_train,a,138,2.8857490304415414,2.193466500208439,6.610384730343755,1,-3.274022847228171,-3.5305693618496705,-2.1898977576962353,-2.4464442723177346
pair_0f3deadd,math_train,h,119,3.1375755911621,2.3261571211376406,7.4270890012700885,0,,,,
pair_0f421760,amc_aime,a,135,3.13970025436921,3.000238162145596,6.862086949615465,0,,,,
pair_0f421760,amc_aime,h,635,3.3786276311156045,2.76016473340458,9.091395476540642,7,0.30559783036985155,0.3539218863260015,0.5979769074565697,0.64630096341272
pair_0f905113,math_test,a,453,2.636782441525422,2.2481155589447277,5.919621283242085,4,-0.261540101983636,-0.24757006649349372,-0.26082114395326295,-0.24685110846312075
pair_0f905113,math_test,h,363,3.313336311502851,2.867477170789554,8.137664007253017,3,-0.08187730853643112,-0.14042776932339965,0.30070769432781885,0.24215723354085028
pair_11362c17,secondary_math,a,271,2.4494258581994974,2.372044762150505,6.161163612922643,0,,,,
pair_11362c17,secondary_math,h,239,2.4264990952175562,2.372044762150505,6.121162305136305,0,,,,
pair_121126b4,math_train,a,316,2.4116339625330134,2.3276502791914675,5.318678714048657,6,-0.4807259102201547,-0.4829033502840949,-0.09378936059290417,-0.09596680065684444
pair_121126b4,math_train,h,196,2.8778610564981766,2.3973207636574987,6.834510609760432,1,-0.28662513060480155,-0.2783265585686253,-0.6778752202861433,-0.6695766482499671
pair_136afae1,olympiads,a,320,2.8663312845920137,2.4165599174893355,7.815163868492883,5,-1.484103921594675,-1.634345249878388,-1.4385101911227958,-1.5887515194065085
pair_136afae1,olympiads,h,258,2.8952137722614446,2.4912634711366186,6.8815383972997095,4,-1.1157970660108019,-1.273888707644631,-0.9363655493640819,-1.0944571909979108
pair_13d805d4,amc_aime,a,224,6.967288403305943,3.8538503189328503,20.51572125782971,3,-2.6820847444531997,-2.690681294684191,1.0872045801242347,1.078608029893244
pair_13d805d4,amc_aime,h,272,6.992487683176299,4.025525603586271,20.70173770163716,3,-1.6140546953780461,-1.426657368898508,0.40853155411026193,0.5959288805897999
pair_13dbafa5,math_train,a,107,2.035648872202577,1.8594883589625169,4.032195454640487,1,-0.8574108549752104,-0.803816550326636,-0.2830934361063888,-0.22949913145781442
pair_13dbafa5,math_train,h,99,2.4353803592867886,2.249950584273902,4.328445126804098,0,,,,
pair_1435e660,olympiads,a,720,2.6749577458081633,2.218399246180256,6.017098966011536,17,-0.6035443750921494,-0.7664775614281539,-0.7231885801267223,-0.8861217664627267
pair_1435e660,olympiads,h,322,2.7007023343869307,2.3429732549255875,6.37083051692517,9,-0.26491929963926175,-0.37530232507920835,0.3125193486423385,0.20213632320239192
pair_149000e5,aops_forum,a,262,2.3526531170384817,2.3257741021571423,5.693735795979411,2,-0.5677792466960463,-0.5804189310900931,0.02391862516584997,0.011278940771803081
pair_149000e5,aops_forum,h,173,2.6117195045123767,2.3813010672110946,6.287324044274696,0,,,,
pair_149fe16f,olympiads_ref,a,251,3.0283850570788164,2.683542508446446,6.9153425908630215,5,-0.07148386829575984,-0.13879259971879027,-0.619159151775013,-0.6864678831980434
pair_149fe16f,olympiads_ref,h,263,3.105899429782438,2.763272533291594,7.302414162896765,5,0.08002818449587715,0.0017884471717012546,-0.5312845676805795,-0.6095243050047554
pair_152731e7,olympiads,a,306,2.8574014501320977,2.653252800967642,5.609678284321864,7,0.03907610897197381,0.020599297195290363,0.5026910525365189,0.4842142407598356
pair_152731e7,olympiads,h,281,3.1517664418269558,2.6708344748375143,7.296717385904072,4,-1.381325464822656,-1.4748870954144884,-0.813344564800967,-0.9069061953927994
pair_1565703f,cn_k12,a,118,4.2764662831022004,2.97422075786716,14.599033034521971,0,,,,
pair_1565703f,cn_k12,h,167,4.514141190976513,3.002112791496448,14.613493642656268,0,,,,
pair_171e8749,amc_aime,a,191,2.6709652211822665,2.3585423196775976,6.334765802164257,4,-0.04782242893101685,0.003660488571996301,-0.23846233743528444,-0.1869794199322713
pair_171e8749,amc_aime,h,159,3.173343378803777,2.588741907081377,7.981813381137282,0,,,,
pair_17275427,amc_aime,a,112,3.4257941230008164,2.7350001691450263,12.270846145687358,0,,,,
pair_17275427,amc_aime,h,94,4.881028653092372,3.5537664343284785,14.303003240584822,0,,,,
pair_17a4d7d8,olympiads,a,486,2.5018931117027012,2.354980073122679,5.62266731097056,10,0.18497095728436483,0.09894904688846733,-0.31175298501989607,-0.39777489541579364
pair_17a4d7d8,olympiads,h,196,3.3368571249743453,2.855600909995398,10.085219720887176,0,,,,
pair_19517b6c,olympiads,a,880,2.894682908366946,2.4572475516405263,6.5943795850622795,20,-0.151539701181111,-0.14805682198300066,-0.1939376641129174,-0.19045478491480722
pair_19517b6c,olympiads,h,1015,3.7232447402258066,2.927134900986237,11.087193113540463,9,1.984670073330532,2.040863659698429,1.9962818112559926,2.052475397623889
pair_19f291ba,math_test,a,549,3.17318313897659,2.3927436194969034,10.25593751394606,9,0.3493839414261347,0.4134155169273594,0.8037483039431736,0.8677798794443983
pair_19f291ba,math_test,h,521,4.150825089761741,2.698769888882291,14.58876198276588,8,-0.617141652509618,-0.8520762955694525,-0.05970618728478372,-0.2946408303446182
pair_1d99af92,cn_k12,a,503,2.1899315346557637,2.0980206773131385,5.269600052573082,6,-0.9256939623487437,-0.9384508864992451,-0.5139351159981413,-0.5266920401486428
pair_1d99af92,cn_k12,h,630,3.094088235928876,2.601964102179624,7.9134575704789585,6,0.606250701449898,0.6819984240472844,1.144771175834294,1.2205188984316802
pair_1e273c45,math_test,a,1495,2.4672021167191778,2.0645038190262777,6.024629061750027,17,0.1214986331771823,0.157079482187904,0.2182260679122477,0.25380691692296936
pair_1e273c45,math_test,h,665,3.8839896946107544,2.4814432580783987,14.054753362018195,6,1.8232169990438407,1.9777741104282862,1.8813848302759963,2.0359419416604423
pair_1e4638c2,olympiads,a,440,2.5847997930531537,2.2628850348513296,6.054218745553444,10,0.45646812570177053,0.48617353845000616,0.21822561375841207,0.24793102650664772
pair_1e4638c2,olympiads,h,206,3.585616250462729,2.5322784609829214,11.124830465210994,1,-0.8304609790705664,-0.8820783143695892,-0.6802628347837025,-0.7318801700827253
pair_1e6ca847,olympiads,a,272,2.9269538525452923,2.483157864156645,5.546255723603017,4,-0.3043493188351069,-0.4430209428494683,-0.8090330078605701,-0.9477046318749316
pair_1e6ca847,olympiads,h,343,3.2665767297142327,2.4012052193283915,7.054319625101196,2,-0.8172233518131894,-0.8263383665435459,-0.929956561816386,-0.9390715765467424
pair_1eac5349,olympiads_ref,a,402,2.228313269730067,2.1347196071885413,4.8534933716520765,9,-0.08545289915847754,-0.058007638486334834,-0.06218854532435257,-0.03474328465220987
pair_1eac5349,olympiads_ref,h,257,2.6398745665207275,2.3343488254399656,6.280092286046895,0,,,,
