tactic,stratum,n_pairs,human_explicit_uses_per_claim,human_zero_uptake_share,ai_explicit_uses_per_claim,ai_zero_uptake_share
linarith,both_use,1533,1.3307839388145315,0.2343318461865307,0.8424388240126753,0.3681121999882636
linarith,neither_uses,1198,1.5977975878342947,0.14210802307288936,0.9818788745827373,0.3090128755364807
nlinarith,both_use,616,1.1066950053134963,0.3024442082890542,0.7398948159278738,0.44477836213373406
nlinarith,neither_uses,2004,1.578358208955224,0.1608867427568042,1.013317549570879,0.28144421426457533
norm_num,both_use,1355,1.433142857142857,0.19157142857142856,0.900239887501034,0.3405575316403342
norm_num,neither_uses,1259,1.2778585976141985,0.2662205411696247,0.7934695190606402,0.3924722534984719
omega,both_use,477,1.7096876991714467,0.26131293817718293,0.9479121825226001,0.43564356435643564
omega,neither_uses,2690,1.2834704562453254,0.21017202692595363,0.8552429365173189,0.32763920085116444
ring,both_use,416,1.2484140233722871,0.20567612687813022,0.8650220617729643,0.3305254713196951
ring,neither_uses,2249,1.458463050958545,0.23840734065213828,0.8722172751558326,0.38352626892252895
simp,both_use,938,1.6987951807228916,0.14952667814113596,0.9394380853277836,0.3551508844953174
simp,neither_uses,1593,1.0198825124265702,0.30027112516945326,0.819921568627451,0.35074509803921566
