name,N,alpha_pub,ks_xmin,ks_alpha,implied_xmin,implied_alpha,err
Leibniz pi,13619,1.91,1,2.338,43,1.904,0.0057
Bertrand's Postulate,22434,2.09,2,2.237,70,2.088,0.0024
Schroeder-Bernstein,1331,2.21,1,2.283,11,2.21,0.0004
Cubic Solution,11271,1.88,1,2.326,37,1.884,0.0039
Cauchy-Schwarz,12647,2.13,1,2.247,135,2.13,0.0001
Cayley-Hamilton,11407,2.09,2,2.06,10,2.091,0.0013
Ceva's Theorem,15279,2.11,4,2.135,24,2.108,0.0018
Desargues' Theorem,18213,1.99,1,2.334,58,1.99,0.0003
Polyhedron Formula,23750,2.22,6,2.197,24,2.219,0.0007
Euler FLiT,22444,2.24,6,2.255,128,2.24,0.0001
FT Algebra,20431,2.29,1,2.246,198,2.29,0.0003
FT Calculus,16845,2.24,5,2.258,6,2.242,0.0025
Godel Incompleteness,28984,1.98,1,2.438,180,1.981,0.0008
Int Value Theorem,14467,2.09,1,2.342,10,2.088,0.0023
Subgroup Order,10583,2.23,4,2.201,10,2.231,0.001
Mean Value Theorem,10168,2.2,1,2.216,55,2.2,0.0003
Liouville's Theorem,11645,2.31,1,2.208,35,2.31,0.0003
Ramsey's Theorem,7747,2.37,1,2.245,49,2.366,0.0043
Rationals Denumerable,13108,2.22,3,2.24,40,2.22,0.0005
Quadratic Reciprocity,14397,2.07,1,2.463,10,2.071,0.001
Powerset Theorem,282,2.41,1,2.251,5,2.423,0.0132
Sylow's Theorem,15942,2.16,2,2.15,13,2.159,0.0007
Taylor's Theorem,17809,2.2,1,2.222,42,2.2,0.0003
Wilson's Theorem,16120,2.09,9,2.089,122,2.09,0.0001
GCD Algorithm,10792,2.26,4,2.337,154,2.259,0.0014
Bezout's Theorem,14909,2.23,3,2.235,110,2.229,0.001
Bertrand (ballot),24137,2.22,1,2.435,10,2.215,0.0053
Binomial Theorem,16314,2.11,3,2.196,11,2.111,0.0015
Birthday Paradox,11692,2.1,1,2.353,13,2.1,0.0001
Subsets of a Set,20205,2.13,4,2.161,18,2.129,0.0007
Div 3 Rule,13037,2.22,4,2.343,195,2.22,0.0001
FT Arithmetic,11362,2.13,2,2.168,46,2.13,0.0004
Factor & Remainder,11815,2.16,2,2.075,10,2.157,0.0028
Euclid's Elements,174597,2.14,1,2.541,10,2.138,0.0021
Four Color Theorem,12407,1.97,1,2.426,10,1.972,0.0019
Geometric Series,16160,2.16,2,2.187,98,2.158,0.0021
Heron's Formula,17487,2.04,4,2.116,9,2.041,0.0011
Inclusion-Exclusion,12886,2.15,1,2.306,52,2.15,0.0004
Pascal's Hexagon,150,2.32,1,2.387,5,2.373,0.0526
Isosceles Triangle,13055,2.11,1,2.256,8,2.112,0.0015
Cramer's Rule,10613,2.09,2,2.0,10,2.093,0.0029
Triangle Angles,739,2.38,1,2.33,5,2.375,0.005
Pythagorean Triples,13254,2.19,1,2.324,10,2.19,0.0004
Pythagorean Theorem,18230,1.93,1,2.339,43,1.929,0.0011
Reals Uncountable,14574,2.31,1,2.164,10,2.311,0.0005
Prime Squares,250,2.25,1,2.333,2,2.262,0.0121
Triangle Inequality,13657,2.13,1,2.276,8,2.135,0.0045
