corpus,name,nodes,positive_nodes,zero_fraction,positive_mean,positive_variance,variance_ratio_to_ztp,fraction_degree_1,fraction_degree_2,fraction_degree_3,max_degree,poisson_lambda,poisson_ks,poisson_bootstrap_p,poisson_aic,geometric_aic,negative_binomial_aic,cmp_aic,cmp_nu,cmp_at_bound,aic_winner,delta_aic_poisson_cmp,delta_aic_poisson_cmp_per_positive_node,ordinary_poisson_aic_all,zero_inflated_poisson_aic_all,zip_lambda,zip_pi,zip_at_zero_boundary,zip_ks,zip_bootstrap_p,hurdle_poisson_aic_all,hurdle_geometric_aic_all,hurdle_negative_binomial_aic_all,hurdle_cmp_aic_all,mixed_model_aic_winner,delta_aic_zip_hurdle_cmp,delta_aic_zip_best_full_model,delta_aic_hurdle_poisson_cmp,schema
Coq root values,Alt_PI_eq,5428,4659,0.14167280766396462,2.0489375402446877,0.06414300082082233,0.05132007154744555,0.006224511697789225,0.9411890963726122,0.05001073191672033,4,1.6589424085694704,0.3837706199774232,0.005,10818.752455044589,13230.119821699649,10820.753178713801,2473.1682509268867,18.63172776453394,False,cmp,8345.584204117702,1.7912822932212282,15305.717186640564,15307.717186640564,1.7586588061901254,0.0,True,0.3282345785133154,0.005,15249.875977520867,17661.243344175928,15251.876701190082,6904.291773403166,hurdle_cmp,8403.425413237397,8403.425413237397,8345.584204117702,all normalized constructors
Coq root values,Alt_PI_eq,5267,4498,0.1460034175052212,2.0509115162294353,0.05009810199721195,0.040002001623828075,0.0008892841262783459,0.947309915518008,0.05180080035571365,3,1.6615618878735336,0.38846034422961867,0.005,10429.340374165993,12784.880236103503,10431.340960569321,1901.0338905512472,24.365521749640212,False,cmp,8528.306483614746,1.896021894978823,14853.54238349463,14855.54238349463,1.7514714258591229,0.0,True,0.3306681554111078,0.005,14810.466478961065,17166.006340898573,14812.467065364392,6282.159995346318,hurdle_cmp,8573.382388148311,8573.382388148311,8528.306483614746,shared binary core
Coq root values,Bertrand,1197,1014,0.15288220551378445,2.0187376725838266,0.028248505148823766,0.0233225815050106,0.0029585798816568047,0.9773175542406312,0.01775147928994083,4,1.6187206981165687,0.39705839458559683,0.005,2316.12453854303,2839.568199037658,2318.1248110682614,283.438627516618,22.562753545602828,False,cmp,2032.6859110264122,2.004621214029992,3350.369400940436,3352.369400940436,1.710108604845447,0.0,True,0.3347242382103077,0.005,3341.9812602503694,3865.424920744997,3343.9815327756005,1309.2953492239571,hurdle_cmp,2043.074051716479,2043.074051716479,2032.6859110264122,all normalized constructors
Coq root values,Bertrand,1167,984,0.15681233933161953,2.018292682926829,0.01795806067816776,0.01483353746640929,0.0,0.9817073170731707,0.018292682926829267,3,1.618125960700489,0.40016672222633554,0.005,2243.6413464763136,2755.0174569564942,2245.6414652953945,183.7138544159825,126.61976731753207,False,cmp,2059.927492060331,2.0934222480287916,3265.8060584046966,3267.8060584046966,1.7017994858611825,0.0,True,0.3358745307970466,0.005,3259.4049188943404,3770.781029374521,3261.4050377134213,1199.4774268340093,hurdle_cmp,2068.3286315706873,2068.3286315706873,2059.927492060331,shared binary core
Coq root values,CSB,75,55,0.26666666666666666,1.981818181818182,0.017851239669421492,0.01533587809542996,0.01818181818181818,0.9818181818181818,0.0,2,1.5691667639575275,0.3944695996788323,0.005,125.56778933883999,153.0969109214399,127.56798238876672,13.996373346639302,403.0120973608778,False,cmp,111.57141599220068,2.0285711998581943,213.35846592543643,214.55506505155512,1.5691667639575275,0.0738184323583674,False,0.28927770643114364,0.005,214.55506505155512,242.08418663415503,216.55525810148185,102.98364905935443,hurdle_cmp,111.57141599220068,111.57141599220068,111.57141599220068,all normalized constructors
Coq root values,CSB,74,54,0.2702702702702703,2.0,0.0,0.0,0.0,1.0,0.0,2,1.5936242600400345,0.40637573995996135,0.005,123.78225032001399,151.7197910009482,125.7822630636729,4.000000000007276,438.8091972188949,False,cmp,119.78225032000671,2.218189820740865,211.1976105737433,212.14431614312983,1.5936242600400345,0.08418847776401676,False,0.2965444588897015,0.005,212.14431614312983,240.08185682406403,214.14432888678874,92.36206582312312,hurdle_cmp,119.78225032000671,119.78225032000671,119.78225032000671,shared binary core
Coq root values,Cardan_Tartaglia,8253,7332,0.11159578335150855,2.0456901254773596,0.045784752859395074,0.036754136765042494,0.0008183306055646482,0.9529459901800328,0.04596290234588107,4,1.6546305397958518,0.3902412550759382,0.005,16954.496885136672,20787.546334762796,16956.975304208074,2887.3872976273415,24.326997795772073,False,cmp,14067.10958750933,1.9185910512151296,22985.38876416872,22987.38876416872,1.8173997334302678,0.0,True,0.3453570594596071,0.005,22730.935387147732,26563.984836773856,22733.413806219134,8663.825799638402,hurdle_cmp,14323.56296453032,14323.56296453032,14067.10958750933,all normalized constructors
Coq root values,Cardan_Tartaglia,8015,7094,0.11490954460386775,2.0472230053566394,0.045556849902104006,0.03651365044256112,0.000281928390188892,0.9522131378629828,0.04750493374682831,3,1.6566662671004535,0.39027480986599233,0.005,16412.939829923725,20127.42492321209,16414.940658191434,2751.86907782848,27.437890657891273,False,cmp,13661.070752095246,1.9257218426973846,22354.575432840247,22356.575432840247,1.8119775421085464,0.0,True,0.34412353128987927,0.005,22132.173819678563,25846.658912966926,22134.17464794627,8471.103067583317,hurdle_cmp,13885.47236525693,13885.47236525693,13661.070752095246,shared binary core
Coq root values,Cauchy_Schwarz_inequality,1678,1449,0.1364719904648391,2.028985507246377,0.03090587211570199,0.025243298123176876,0.0013802622498274672,0.9682539682539683,0.03036576949620428,3,1.6324003127969942,0.3952049321995508,0.005,3323.5692168190117,4077.105401282649,3325.5694139899465,428.37882844482374,24.70217425690674,False,cmp,2895.190388374188,1.9980609995681076,4687.10081890649,4689.10081890649,1.7520858164481525,0.0,True,0.33958043652436404,0.005,4662.958933208953,5416.49511767259,4664.959130379888,1767.7685448347647,hurdle_cmp,2921.332274071725,2921.332274071725,2895.190388374188,all normalized constructors
Coq root values,Cauchy_Schwarz_inequality,1643,1414,0.1393791844187462,2.0304101838755306,0.030899831749188252,0.02520083640581213,0.0007072135785007072,0.9681753889674681,0.031117397454031116,3,1.6342995421697746,0.39540342812725077,0.005,3245.015861008899,3981.407060223289,3247.076959783163,412.42124075753964,26.29092353507457,False,cmp,2832.594620251359,2.0032493778298157,4594.691674180043,4596.691674180043,1.7474132684114425,0.0,True,0.3386775897102118,0.005,4574.017415472486,5310.408614686878,4576.078514246751,1741.4227952211277,hurdle_cmp,2855.2688789589156,2855.2688789589156,2832.5946202513587,shared binary core
