pair,source
pair_b26074ad,math_test
pair_a2599662,math_test
pair_c950c340,math_test
pair_45521fff,math_test
pair_bd612553,math_test
pair_9a2554f2,olympiads
pair_6a447572,math_test
pair_946bc740,olympiads
pair_4405505c,math_test
pair_0e90e290,amc_aime
pair_48cfef30,aops_forum
pair_a678465e,olympiads_ref
pair_50f65147,olympiads
pair_b4ba605e,olympiads
pair_30c4e753,math_test
pair_b1d15b93,math_test
pair_0e9a0016,secondary_math
pair_76494dbd,olympiads
pair_0e32bcce,amc_aime
pair_99286beb,math_test
pair_a644e678,math_test
pair_894581ef,math_test
pair_df783b78,olympiads
pair_70ee9af5,amc_aime
pair_14c04549,math_test
pair_2cad8875,math_test
pair_1286e618,amc_aime
pair_5feca8f4,olympiads
pair_3f05e6e5,olympiads
pair_30156fe4,math_test
pair_fe3e5ba4,olympiads_ref
pair_e72752fa,math_test
pair_ceff9d94,amc_aime
pair_20a80c6e,aops_forum
pair_1d5f9f4b,math_train
pair_9551fce6,math_train
pair_323a3adb,olympiads
pair_4168a0c8,math_train
pair_1260ffed,math_test
pair_303b3b6f,math_train
pair_7d5098ed,olympiads
pair_f2ceada1,aops_forum
pair_1bf21e78,olympiads_ref
pair_e8bb7234,math_train
pair_9af28884,math_train
pair_7dd80ef0,math_test
pair_a07e8d4a,olympiads
pair_450cb727,math_train
pair_6d4f98d4,math_train
pair_4c8a2a5e,math_train
pair_0b668267,math_train
pair_e5b695a5,number_theory
pair_fd138566,olympiads
pair_a6a5a919,number_theory
pair_5d026d45,amc_aime
pair_e741ccbc,math_train
pair_768ae39e,olympiads
pair_b86aff80,math_train
pair_25a9af7d,math_train
pair_e0292b80,number_theory
pair_52aea08b,amc_aime
pair_f9dd3c48,math_train
pair_4a3a5691,math_train
pair_d00e5e64,number_theory
pair_08f791c1,amc_aime
pair_fed6b037,math_train
pair_5d6fab9d,olympiads
pair_1ea88ff1,math_train
pair_b87016ae,aops_forum
pair_b7bb3d8e,math_test
pair_bc8756da,amc_aime
pair_51120e2b,math_train
pair_2ecd6360,number_theory
pair_11b24520,math_train
pair_f096d1c8,math_train
pair_8ee0fb74,math_test
pair_9faef40c,olympiads
pair_56bc3427,math_train
pair_9c11521b,amc_aime
pair_664eac07,math_train
pair_d203b1a6,math_train
