dir,published,nodes,alpha_pub,out_csn_auto,out_xmin1,out_xmin2,out_xmin3,out_xmin5,out_csn_cont,out_loglog,out_ccdf,in_csn_auto
Alt_PI_eq,Leibniz pi,13619,1.91,2.338,,,,,2.519,1.048,1.955,2.594
Bertrand,Bertrand's Postulate,22434,2.09,2.237,,,,,2.461,1.156,1.964,2.368
CSB,Schroeder-Bernstein,1331,2.21,2.283,,,,,2.498,1.339,1.932,2.404
Cardan_Tartaglia,Cubic Solution,11271,1.88,2.326,,,,,2.461,0.994,1.95,2.523
Cauchy_Schwarz_inequality,Cauchy-Schwarz,12647,2.13,2.247,,,,,2.256,1.261,1.915,2.972
Cayley_Hamilton,Cayley-Hamilton,11407,2.09,2.06,,,,,2.291,1.342,1.945,2.34
Ceva,Ceva's Theorem,15279,2.11,2.135,,,,,2.176,1.31,1.946,2.579
Desargues,Desargues' Theorem,18213,1.99,2.334,,,,,2.046,1.059,1.953,2.65
Euler_Poincare_criterion,Polyhedron Formula,23750,2.22,2.197,,,,,2.322,1.141,1.988,2.406
Euler_exp_totient,Euler FLiT,22444,2.24,2.255,,,,,2.335,1.213,1.986,2.54
FTA,FT Algebra,20431,2.29,2.246,,,,,2.347,1.364,1.915,2.377
FTC1,FT Calculus,16845,2.24,2.258,,,,,2.347,1.307,1.887,2.208
Goedel'sIncompleteness1st,Godel Incompleteness,28984,1.98,2.438,,,,,2.018,0.978,1.995,2.351
IVT_cor,Int Value Theorem,14467,2.09,2.342,,,,,2.534,1.163,1.957,2.381
Lagrange,Subgroup Order,10583,2.23,2.201,,,,,2.316,1.373,1.935,2.465
Law_of_the_Mean,Mean Value Theorem,10168,2.2,2.216,,,,,2.664,1.248,1.902,2.23
Liouville_theorem,Liouville's Theorem,11645,2.31,2.208,,,,,2.402,1.499,1.898,2.368
Pigeonhole,Ramsey's Theorem,7747,2.37,2.245,,,,,2.558,1.402,1.915,2.4
Q_countable,Rationals Denumerable,13108,2.22,2.24,,,,,2.433,1.309,1.925,2.36
Quadratic_reciprocity,Quadratic Reciprocity,14397,2.07,2.463,,,,,2.525,0.96,2.005,2.352
Strict_Rel_is_Strict_Included,Powerset Theorem,282,2.41,2.251,,,,,2.989,1.759,1.917,2.597
Sylow's_theorem,Sylow's Theorem,15942,2.16,2.15,,,,,2.326,1.261,1.972,2.513
Taylor,Taylor's Theorem,17809,2.2,2.222,,,,,2.302,1.303,1.904,2.216
Wilson,Wilson's Theorem,16120,2.09,2.089,,,,,2.159,1.148,2.002,2.52
Zgcd_is_gcd,GCD Algorithm,10792,2.26,2.337,,,,,2.439,1.251,1.948,2.411
Zis_gcd_bezout,Bezout's Theorem,14909,2.23,2.235,,,,,2.321,1.315,1.925,2.344
bertrand_ballot,Bertrand (ballot),24137,2.22,2.435,,,,,2.166,1.06,1.994,2.394
binomial,Binomial Theorem,16314,2.11,2.196,,,,,2.313,1.291,1.935,2.836
birthday_paradox,Birthday Paradox,11692,2.1,2.353,,,,,2.37,1.181,1.961,2.43
card_powerset,Subsets of a Set,20205,2.13,2.161,,,,,2.182,1.286,1.984,2.559
div3,Div 3 Rule,13037,2.22,2.343,,,,,2.465,1.183,1.923,2.336
divisors_correct,FT Arithmetic,11362,2.13,2.168,,,,,2.18,1.172,2.006,2.525
edivpP,Factor & Remainder,11815,2.16,2.075,,,,,2.253,1.4,1.946,2.43
euclid_book,Euclid's Elements,174597,2.14,2.541,,,,,2.207,0.942,2.033,2.879
four_color,Four Color Theorem,12407,1.97,2.426,,,,,2.236,1.237,1.991,2.549
fun_power_series_conv_IR,Geometric Series,16160,2.16,2.187,,,,,2.266,1.227,1.932,2.317
herron_qin,Heron's Formula,17487,2.04,2.116,,,,,2.234,1.268,1.93,2.671
inclusion_exclusion,Inclusion-Exclusion,12886,2.15,2.306,,,,,2.332,1.286,1.942,2.362
is_hexamy,Pascal's Hexagon,150,2.32,2.387,,,,,2.239,1.111,1.975,2.595
isosceles_conga,Isosceles Triangle,13055,2.11,2.256,,,,,2.299,1.311,1.92,2.243
mul_adj_mx,Cramer's Rule,10613,2.09,2.0,,,,,2.219,1.411,1.925,2.315
postulate_of_existence_of_a_triangle_whose_angles_sum_to_two_rights,Triangle Angles,739,2.38,2.33,,,,,2.882,1.555,1.952,2.406
pytha_thm3,Pythagorean Triples,13254,2.19,2.324,,,,,2.506,1.115,1.949,2.381
pythagoras,Pythagorean Theorem,18230,1.93,2.339,,,,,2.089,1.089,1.956,2.106
reals_not_countable,Reals Uncountable,14574,2.31,2.164,,,,,2.405,1.511,1.877,2.347
sum_of_two_squares,Prime Squares,250,2.25,2.333,,,,,2.801,1.242,1.953,2.924
triangle,Triangle Inequality,13657,2.13,2.276,,,,,2.458,1.323,1.929,2.915
