name,N,E,out_alpha,out_xmin,out_n_tail,out_LR_vs_exponential,out_p_vs_exponential,out_LR_vs_lognormal,out_p_vs_lognormal,out_LR_vs_stretched_exponential,out_p_vs_stretched_exponential,in_alpha,in_xmin,in_n_tail,in_LR_vs_exponential,in_p_vs_exponential,in_LR_vs_lognormal,in_p_vs_lognormal,in_LR_vs_stretched_exponential,in_p_vs_stretched_exponential,rnd_alpha,rnd_xmin,rnd_n_tail,rnd_LR_vs_exponential,rnd_p_vs_exponential,rnd_LR_vs_lognormal,rnd_p_vs_lognormal,rnd_LR_vs_stretched_exponential,rnd_p_vs_stretched_exponential,dp_real_mean,dp_real_frac_ge2,dp_rnd_mean,dp_rnd_frac_ge2
Alt_PI_eq,13619,42970,2.3381835937499984,1,13618,10.0,0.0,-0.54,0.5926,5.79,0.0,2.5935348020335955,5,1499,-14.16,0.0,-10.54,0.0,-10.92,0.0,2.6447021484374984,3,7306,-48.06,0.0,-30.34,0.0,-31.73,0.0,1.0410958904109588,0.0410958904109589,1.04,0.04
Bertrand,22434,63950,2.237449156265116,2,6087,9.79,0.0,-0.47,0.6386,4.72,0.0,2.367828965221009,2,17676,-67.34,0.0,-46.74,0.0,-43.47,0.0,2.798217773437499,3,11118,-53.06,0.0,-34.28,0.0,-35.45,0.0,1.1016949152542372,0.05084745762711865,1.0,0.0
CSB,1331,3319,2.2829589843749987,1,1330,5.3,0.0,-1.32,0.1881,0.53,0.597,2.4043212890624988,2,951,-34.27,0.0,-17.19,0.0,-18.55,0.0,2.94697265625,3,566,-10.78,0.0,-7.04,0.0,-7.19,0.0,1.0583333333333333,0.041666666666666664,1.0,0.0
Cardan_Tartaglia,11271,37304,2.3258056640624982,1,11270,9.67,0.0,-1.48,0.1401,6.1,0.0,2.5231329030076486,5,1244,-14.64,0.0,-10.59,0.0,-10.76,0.0,2.570800781249999,3,6237,-47.01,0.0,-29.45,0.0,-30.91,0.0,1.0347826086956522,0.034782608695652174,1.027027027027027,0.02702702702702703
Cauchy_Schwarz_inequality,12647,37597,2.2465576171874977,1,12646,10.43,0.0,0.17,0.8645,4.14,0.0,2.9723876953124995,6,759,-5.73,0.0,-5.83,0.0,-5.98,0.0,2.714062499999999,3,6443,-44.16,0.0,-27.87,0.0,-29.28,0.0,1.1,0.08,1.0,0.0
Cayley_Hamilton,11407,33753,2.0596700422687926,2,2973,11.88,0.0,-2.05,0.0401,1.87,0.0617,2.34020936130611,2,9390,-96.68,0.0,-54.34,0.0,-54.67,0.0,2.7306884765624995,3,5815,-41.01,0.0,-26.06,0.0,-27.26,0.0,1.1195652173913044,0.10869565217391304,1.0588235294117647,0.058823529411764705
Ceva,15279,43721,2.1353470456605264,4,1624,8.16,0.0,-1.77,0.0775,2.1,0.0353,2.578610688769266,5,1439,-9.84,0.0,-8.85,0.0,-9.06,0.0,2.7864257812499993,3,7601,-45.09,0.0,-28.85,0.0,-30.1,0.0,1.0,0.0,1.0,0.0
Desargues,18213,58407,2.3336425781249983,1,18212,10.71,0.0,-4.42,0.0,5.74,0.0,2.6504963283915464,5,2241,-11.05,0.0,-9.97,0.0,-10.19,0.0,2.6283691406249994,3,9882,-57.12,0.0,-36.11,0.0,-37.39,0.0,1.0083333333333333,0.008333333333333333,1.05,0.05
Euler_Poincare_criterion,23750,68191,2.197332796525761,6,1407,5.19,0.0,-0.08,0.9401,1.37,0.1698,2.4064453124999985,2,20144,-239.94,0.0,-101.53,0.0,-96.81,0.0,2.7839355468749996,3,11799,-54.61,0.0,-35.35,0.0,-36.61,0.0,1.0666666666666667,0.058333333333333334,1.0,0.0
Euler_exp_totient,22444,59216,2.2553005775093125,6,1243,4.68,0.0,-0.67,0.5057,2.07,0.0382,2.539672851562499,2,18207,-124.78,0.0,-64.09,0.0,-66.94,0.0,2.9022216796875,3,10290,-48.65,0.0,-31.58,0.0,-32.67,0.0,1.0985915492957747,0.08450704225352113,1.0,0.0
FTA,20431,57666,2.2459716796874982,1,20430,12.7,0.0,-2.77,0.0056,2.3,0.0215,2.3772216796874988,2,16472,-130.29,0.0,-69.7,0.0,-80.66,0.0,2.8097167968749996,3,10038,-51.6,0.0,-32.91,0.0,-33.99,0.0,1.0166666666666666,0.016666666666666666,1.0,0.0
FTC1,16845,51991,2.257602935691204,5,1665,6.34,0.0,-0.24,0.808,2.19,0.0285,2.2083169971119156,2,13267,-124.45,0.0,-68.67,0.0,-67.36,0.0,2.6922363281249995,3,8927,-49.63,0.0,-32.04,0.0,-33.13,0.0,1.075,0.058333333333333334,1.0,0.0
Goedel'sIncompleteness1st,28984,84724,2.438305664062499,1,28983,10.31,0.0,3.01,0.0026,20.81,0.0,2.3510311614988275,2,23934,-164.45,0.0,-86.27,0.0,-88.99,0.0,2.7652587890625,3,14646,-60.93,0.0,-39.54,0.0,-40.98,0.0,1.0,0.0,1.0,0.0
