src,dst,cls,sub,load,capacity
198,1988,machine,TrivialBruteforce,2,7022224
63,1554,machine,TrivialBruteforce,1,7022224
3795,3792,machine,SimpleRewrites,92,2979740
3731,3663,machine,SimpleRewrites,0,6417
3272,4275,machine,TrivialBruteforce,2,3844
3735,3524,machine,MagmaEgg,9,12810
4311,4298,machine,SimpleRewrites,2,49600
1875,1860,machine,SimpleRewrites,0,5172
2746,2642,machine,TrivialBruteforce,498,7022224
698,672,machine,SimpleRewrites,149,7022224
2887,2684,machine,MagmaEgg,2,105728
1273,1270,machine,SimpleRewrites,30,161401
1260,836,machine,VampireProven,0,14157
4477,4473,machine,SimpleRewrites,3,24540
2,1222,machine,TrivialBruteforce,2,3410
1243,1240,machine,SimpleRewrites,0,5310
2493,1151,machine,MagmaEgg,5,20254
3355,3450,machine,MagmaEgg,0,490884
1217,1212,machine,SimpleRewrites,0,7022224
1490,3861,machine,VampireProven,0,3294
3203,3202,machine,SimpleRewrites,0,7022224
1585,1524,machine,SimpleRewrites,0,4932
4425,4409,machine,SimpleRewrites,0,65994
3027,2992,machine,SimpleRewrites,0,7022224
1505,3866,machine,VampireProven,0,4938
149,147,machine,SimpleRewrites,0,7022224
2289,2237,machine,SimpleRewrites,0,3232
4545,4482,machine,SimpleRewrites,3,10255
1801,1799,machine,TrivialBruteforce,2,7022224
3933,3913,machine,SimpleRewrites,0,807177
422,3319,machine,VampireProven,5,15910
3497,3485,machine,SimpleRewrites,0,126852
709,1,machine,MagmaEgg,0,7022224
2572,2495,machine,SimpleRewrites,2,4674
3988,3914,machine,SimpleRewrites,0,6978
4336,4278,machine,TrivialBruteforce,6,19840
2978,2862,machine,SimpleRewrites,2,4662
4110,4081,machine,SimpleRewrites,0,117303
2762,2761,machine,TrivialBruteforce,3,7022224
1143,1,machine,GeneratedOther,0,7022224
535,530,machine,SimpleRewrites,80,7022224
1376,1375,machine,SimpleRewrites,0,7022224
643,458,machine,VampireProven,5,1902338
4440,4383,machine,SimpleRewrites,2,67551
2254,2238,machine,SimpleRewrites,40,965425
654,657,machine,VampireProven,38,75840
4627,4620,machine,SimpleRewrites,1,223853
2341,2340,machine,SimpleRewrites,0,7022224
3393,3388,machine,SimpleRewrites,42,2979740
4603,4631,machine,TrivialBruteforce,11,66556
2214,372,machine,TrivialBruteforce,0,429352
764,4022,machine,VampireProven,0,9912
4143,4142,machine,SimpleRewrites,10,34448
1513,1439,machine,SimpleRewrites,112,860200
4175,4420,machine,MagmaEgg,2,19270
3825,3824,machine,SimpleRewrites,0,2979740
887,885,machine,SimpleRewrites,2,7022224
1055,1024,machine,SimpleRewrites,0,15720
4460,4432,machine,SimpleRewrites,0,5886
4068,4067,machine,SimpleRewrites,2,6657
3986,3985,machine,SimpleRewrites,11,2979740
3699,39,machine,EquationSearch,0,29484
1571,1489,machine,SimpleRewrites,0,7022224
13,3330,machine,TrivialBruteforce,4,17006
1982,1893,machine,SimpleRewrites,1,5181
4626,4594,machine,SimpleRewrites,0,19840
628,613,machine,SimpleRewrites,0,3450
2481,2469,machine,SimpleRewrites,3,8635
852,455,machine,VampireProven,3,1902338
3097,3089,machine,SimpleRewrites,28,388968
819,816,machine,SimpleRewrites,2,3306
1577,1488,machine,SimpleRewrites,1,5984
955,947,machine,SimpleRewrites,0,7022224
3032,3031,machine,SimpleRewrites,2,7022224
8,3319,machine,TrivialBruteforce,0,15910
2565,2563,machine,SimpleRewrites,1,7022224
3913,373,machine,TrivialBruteforce,79,807177
2382,2253,machine,SimpleRewrites,0,4542
84,997,machine,TrivialBruteforce,10,7022224
3107,3508,machine,VampireProven,0,4707
378,376,machine,SimpleRewrites,3,14196
1702,793,machine,VampireProven,5,7022224
1070,1069,machine,SimpleRewrites,18,1902338
4161,4157,machine,SimpleRewrites,3,5877
2086,2034,machine,SimpleRewrites,0,3470
4502,4490,machine,SimpleRewrites,0,19430
492,2990,machine,VampireProven,1,7022224
362,4078,machine,TrivialBruteforce,3,36468
2376,2364,machine,SimpleRewrites,0,7022224
509,438,machine,VampireProven,0,8535
4392,4382,machine,SimpleRewrites,0,9795
317,3299,machine,TrivialBruteforce,3,36468
2357,2355,machine,SimpleRewrites,43,7022224
3053,3050,machine,SimpleRewrites,0,388968
2369,2292,machine,SimpleRewrites,1,4542
1463,1461,machine,SimpleRewrites,0,965425
2375,2363,machine,SimpleRewrites,4,33033
539,538,machine,SimpleRewrites,1,7022224
3461,3455,machine,SimpleRewrites,0,4790
1259,838,machine,VampireProven,0,113400
4147,4144,machine,SimpleRewrites,2,490884
2012,1943,machine,SimpleRewrites,3,7022224
4263,4204,machine,SimpleRewrites,8,2979740
1635,1633,machine,SimpleRewrites,2,5043
1671,1643,machine,SimpleRewrites,1,5604
3473,3455,machine,SimpleRewrites,0,4128
3238,3237,machine,TrivialBruteforce,4,7022224
3691,39,machine,TrivialBruteforce,10,29484
741,83,machine,EquationSearch,0,7022224
3645,3570,machine,SimpleRewrites,0,2979740
349,3448,machine,TrivialBruteforce,0,2979740
3672,3662,machine,SimpleRewrites,2,12192
3490,3480,machine,SimpleRewrites,0,6102
2694,2685,machine,SimpleRewrites,40,570121
1931,679,machine,MagmaEgg,1,4680
285,2764,machine,TrivialBruteforce,0,1902338
2075,3525,machine,VampireProven,1,9912
1373,4676,machine,VampireProven,0,5151
1723,1630,machine,SimpleRewrites,0,5046
3671,3661,machine,SimpleRewrites,2,6261
4511,4472,machine,SimpleRewrites,3,6513
4040,3989,machine,SimpleRewrites,1,2979740
601,600,machine,SimpleRewrites,41,7022224
3348,3450,machine,VampireProven,6,490884
2398,3130,machine,MagmaEgg,42,450408
3672,3668,machine,SimpleRewrites,5,12192
207,2475,machine,TrivialBruteforce,4,26850
3740,3710,machine,SimpleRewrites,8,807177
2631,2628,machine,SimpleRewrites,0,7022224
1135,1134,machine,SimpleRewrites,42,7022224
1747,1,machine,GeneratedOther,0,7022224
2353,2352,machine,SimpleRewrites,0,7022224
1686,2039,machine,VampireProven,0,5049
2686,2658,machine,SimpleRewrites,2,5193
132,130,machine,SimpleRewrites,1,7022224
1030,1021,machine,SimpleRewrites,0,7160
1779,1646,machine,SimpleRewrites,2,8745
2176,1973,machine,EquationSearch,29,7022224
883,757,machine,VampireProven,7,7022224
2959,2524,machine,VampireProven,1,1902338
